netID,score
liamKen2,0.771311475409836
mixed,0.8901639344262294
mixed,0.8688524590163933
mixed,0.8745901639344261
mixed,0.9418032786885245
mixed,0.8475409836065573
holist,0.910655737704918
holist,0.898360655737705
holist,0.8729508196721312
holist,0.7836065573770491
holist,0.9516393442622949
holist,0.8606557377049182
holist,0.939344262295082
holist,0.8549180327868854
holist,0.8934426229508196
holist,0.9032786885245901
random,0.43688524590163935
random,0.5524590163934426
random,0.5147540983606558
random,0.5852459016393443
random,0.5221311475409836
random,0.5778688524590164
random,0.6024590163934427
random,0.5852459016393443
random,0.5729508196721311
random,0.6163934426229509
synergist,0.9008196721311477
synergist,0.8516393442622953
synergist,0.8573770491803279
synergist,0.9073770491803279
synergist,0.9172131147540983
synergist,0.871311475409836
synergist,0.8868852459016393
synergist,0.8885245901639344
synergist,0.8475409836065575
synergist,0.8221311475409838
usnews,0.39836065573770496
usnews,0.2
usnews,0.2459016393442623
usnews,0.1483606557377049
usnews,0.19672131147540983
usnews,0.29918032786885246
usnews,0.09918032786885246
usnews,0.14918032786885246
usnews,0.2975409836065574
usnews,0.19918032786885248
usnews,0.24918032786885247
usnews,0.1
usnews,0.1
usnews,0.15
usnews,0.19918032786885248
usnews,0.19672131147540983
usnews,0.15
usnews,0.19836065573770492
usnews,0.19672131147540983
usnews,0.19918032786885248
usnews,0.24754098360655735
usnews,0.34672131147540985
usnews,0.05
usnews,0.09836065573770492
usnews,0.19754098360655736
